Node,Color
http://umbel.org/umbel/rc/Agent_PartiallyTangible,0
http://umbel.org/umbel/rc/Agent_Generic,0
http://umbel.org/umbel/rc/IndividualAgent,0
http://umbel.org/umbel/rc/IntelligentAgent,0
http://umbel.org/umbel#AbstractLevel,0
http://umbel.org/umbel/rc/PartiallyIntangibleIndividual,0
http://umbel.org/umbel/rc/SomethingExisting,0
http://dbpedia.org/resource/Labor,0
http://dbpedia.org/resource/Labor_and_demographic_economics,0
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Coding%20schemes,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Medication,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Incoming,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Responsible%20clinician,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Reviews,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Gp-gp%20record,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Mapping,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Patient,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Prescribed%20drug,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Risk,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#South%20africa,2
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#HumanAccessibleIBO,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#InformationBearingObject,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#ArtifactObject,0
http://colab.cim3.net/file/work/SICoP/ontac/COSMO/COSMO.owl#InformationBearingThing,0
http://sw.opencyc.org/concept/Mx4rvViAkpwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4r7lL2_mHWEdqAAAACs71DGQ,0
http://sw.opencyc.org/concept/Mx4rvVilIJwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rHKA2rmHkEdqAAAACs71DGQ,0
http://www.daml.org/2001/03/daml+oil-ex#HumanBeing,0
http://www.daml.org/2001/03/daml+oil-ex#Person,0
http://www.daml.org/2001/03/daml+oil-ex#Animal,0
http://www.owl-ontologies.com/unnamed.owl#Structural_Descriptions,0
http://www.owl-ontologies.com/unnamed.owl#Software_Design_Notations,0
http://www.owl-ontologies.com/unnamed.owl#Software_Design,0
http://umbel.org/umbel/rc/PerceptualAgent_Embodied,0
http://umbel.org/umbel/rc/EmbodiedAgent,0
http://umbel.org/umbel/rc/Author,0
http://umbel.org/umbel/rc/Artist,0
http://umbel.org/umbel#PersonTypes,0
http://umbel.org/umbel/rc/Person,0
http://sw.opencyc.org/concept/Mx4rvViAmpwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rS9kMxmVbQdeRjr0jkUDKsw,0
